Decimal Year,Value
2008.1120219,-1.495813
2008.1311475,-1.522059
2008.1502732,-1.591174
2008.1693989,-1.399176
2008.1885246,-1.506456
2008.2076503,-1.488087
2008.226776,-1.447576
2008.2459016,-1.407322
2008.2650273,-1.279388
2008.284153,-1.242378
2008.3032787,-1.084486
2008.3224044,-1.052756
2008.3415301,-1.015638
2008.3606557,-0.879177
2008.3797814,-0.765711
2008.3989071,-0.686998
2008.4180328,-0.728894
2008.4371585,-0.659031
2008.4562842,-0.584727
2008.4754098,-0.508819
2008.4945355,-0.436875
2008.5136612,-0.601606
2008.5327869,-0.531902
2008.5519126,-0.449024
2008.5710383,-0.498702
2008.5901639,-0.615766
2008.6092896,-0.565313
2008.6284153,-0.567407
2008.647541,-0.658597
2008.6666667,-0.674259
2008.6857923,-0.701307
2008.704918,-0.732401
2008.7240437,-0.729247
2008.7431694,-0.743994
2008.7622951,-0.63209
2008.7814208,-0.708493
2008.8005464,-0.804628
2008.8196721,-0.945952
2008.8387978,-0.94771
2008.8579235,-1.005471
2008.8770492,-1.039342
2008.8961749,-1.145227
2008.9153005,-1.193889
2008.9344262,-1.30621
2008.9535519,-1.324908
2008.9726776,-1.34933
2008.9918033,-1.353638
2009.0109589,-1.249312
2009.030137,-1.24183
2009.0493151,-1.267023
2009.0684932,-1.255353
2009.0876712,-1.208359
2009.1068493,-1.296503
2009.1260274,-1.281796
2009.1452055,-1.28139
2009.1643836,-1.079437
2009.1835616,-1.081168
2009.2027397,-1.019782
2009.2219178,-0.954777
2009.2410959,-0.861135
2009.260274,-0.694875
2009.2794521,-0.56437
2009.2986301,-0.621875
2009.3178082,-0.636536
2009.3369863,-0.53407
2009.3561644,-0.475162
2009.3753425,-0.384388
2009.3945205,-0.259044
2009.4136986,-0.362014
2009.4328767,-0.224521
2009.4520548,-0.079508
2009.4712329,-0.057727
2009.490411,0.049837
2009.509589,-0.118596
2009.5287671,-0.027206
2009.5479452,0.150402
2009.5671233,0.245025
2009.5863014,0.173633
2009.6054795,0.202529
